"filename", "language", "C++", "comment", "blank", "total"
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Animation.cpp", "C++", 23, 4, 7, 34
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Bloc.cpp", "C++", 57, 6, 16, 79
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Confetti.cpp", "C++", 23, 0, 7, 30
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Entity.cpp", "C++", 48, 8, 18, 74
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/FinJeu.cpp", "C++", 41, 8, 10, 59
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Level.cpp", "C++", 200, 19, 31, 250
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Menu.cpp", "C++", 123, 0, 19, 142
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Player.cpp", "C++", 121, 6, 16, 143
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/main.cpp", "C++", 118, 7, 28, 153
"Total", "-", 754, 58, 152, 964
