"filename", "language", "Markdown", "CMake", "C++", "comment", "blank", "total"
"/home/alberic/Documents/Cours/ramio_project/CMakeLists.txt", "CMake", 0, 23, 0, 0, 12, 35
"/home/alberic/Documents/Cours/ramio_project/README.md", "Markdown", 79, 0, 0, 0, 28, 107
"/home/alberic/Documents/Cours/ramio_project/include/Animation.h", "C++", 0, 0, 21, 4, 8, 33
"/home/alberic/Documents/Cours/ramio_project/include/Audio.h", "C++", 0, 0, 31, 2, 12, 45
"/home/alberic/Documents/Cours/ramio_project/include/Bloc.h", "C++", 0, 0, 65, 13, 20, 98
"/home/alberic/Documents/Cours/ramio_project/include/Ennemi.h", "C++", 0, 0, 29, 0, 8, 37
"/home/alberic/Documents/Cours/ramio_project/include/Entity.h", "C++", 0, 0, 47, 16, 17, 80
"/home/alberic/Documents/Cours/ramio_project/include/FinJeu.h", "C++", 0, 0, 27, 5, 13, 45
"/home/alberic/Documents/Cours/ramio_project/include/Level.h", "C++", 0, 0, 60, 0, 28, 88
"/home/alberic/Documents/Cours/ramio_project/include/Menu.h", "C++", 0, 0, 40, 15, 21, 76
"/home/alberic/Documents/Cours/ramio_project/include/Player.h", "C++", 0, 0, 56, 18, 19, 93
"/home/alberic/Documents/Cours/ramio_project/src/Animation.cpp", "C++", 0, 0, 23, 16, 6, 45
"/home/alberic/Documents/Cours/ramio_project/src/Audio.cpp", "C++", 0, 0, 93, 47, 22, 162
"/home/alberic/Documents/Cours/ramio_project/src/Bloc.cpp", "C++", 0, 0, 96, 45, 22, 163
"/home/alberic/Documents/Cours/ramio_project/src/Ennemi.cpp", "C++", 0, 0, 89, 36, 19, 144
"/home/alberic/Documents/Cours/ramio_project/src/Entity.cpp", "C++", 0, 0, 51, 37, 13, 101
"/home/alberic/Documents/Cours/ramio_project/src/FinJeu.cpp", "C++", 0, 0, 70, 41, 19, 130
"/home/alberic/Documents/Cours/ramio_project/src/Level.cpp", "C++", 0, 0, 354, 78, 62, 494
"/home/alberic/Documents/Cours/ramio_project/src/Menu.cpp", "C++", 0, 0, 196, 15, 25, 236
"/home/alberic/Documents/Cours/ramio_project/src/Player.cpp", "C++", 0, 0, 259, 31, 28, 318
"/home/alberic/Documents/Cours/ramio_project/src/main.cpp", "C++", 0, 0, 164, 14, 30, 208
"/home/alberic/Documents/Cours/ramio_project/src/tests.cpp", "C++", 0, 0, 52, 3, 21, 76
"Total", "-", 79, 23, 1823, 436, 453, 2814
