Date : 2025-03-26 00:03:26
Directory : /home/alberic/Documents/Cours/ramio_project
Total : 299 files,  20707 codes, 1776 comments, 1283 blanks, all 23766 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |        200 |     14,034 |      1,284 |        548 |     15,866 |
| TeX        |          3 |      3,298 |        219 |         67 |      3,584 |
| CSS        |          3 |      1,627 |         89 |        330 |      2,046 |
| JavaScript |         45 |      1,112 |        164 |         99 |      1,375 |
| LaTeX      |         42 |        567 |          0 |        218 |        785 |
| C++        |          6 |         69 |         20 |         21 |        110 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        299 |     20,707 |      1,776 |      1,283 |     23,766 |
| html                                                                                       |        248 |     16,773 |      1,537 |        977 |     19,287 |
| html (Files)                                                                               |        109 |     13,613 |        608 |        749 |     14,970 |
| html/search                                                                                |        139 |      3,160 |        929 |        228 |      4,317 |
| include                                                                                    |          3 |         15 |         -1 |          4 |         18 |
| latex                                                                                      |         45 |      3,865 |        219 |        285 |      4,369 |
| src                                                                                        |          3 |         54 |         21 |         17 |         92 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                   | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/alberic/Documents/Cours/ramio_project/html/Animation_8cpp.html                       | HTML       |         88 |          5 |          3 |         96 |
| /home/alberic/Documents/Cours/ramio_project/html/Animation_8h.html                         | HTML       |          2 |          0 |          0 |          2 |
| /home/alberic/Documents/Cours/ramio_project/html/Animation_8h_source.html                  | HTML       |          5 |          0 |          0 |          5 |
| /home/alberic/Documents/Cours/ramio_project/html/Audio_8cpp.html                           | HTML       |        128 |          5 |         11 |        144 |
| /home/alberic/Documents/Cours/ramio_project/html/Audio_8cpp_source.html                    | HTML       |        215 |          5 |          3 |        223 |
| /home/alberic/Documents/Cours/ramio_project/html/Audio_8h.html                             | HTML       |        107 |          5 |          3 |        115 |
| /home/alberic/Documents/Cours/ramio_project/html/Audio_8h_source.html                      | HTML       |        143 |          5 |          3 |        151 |
| /home/alberic/Documents/Cours/ramio_project/html/Bloc_8cpp.html                            | HTML       |        105 |          5 |          3 |        113 |
| /home/alberic/Documents/Cours/ramio_project/html/Bloc_8cpp_source.html                     | HTML       |        265 |          5 |          3 |        273 |
| /home/alberic/Documents/Cours/ramio_project/html/Bloc_8h.html                              | HTML       |          2 |          0 |          0 |          2 |
| /home/alberic/Documents/Cours/ramio_project/html/Bloc_8h_source.html                       | HTML       |        246 |          5 |          3 |        254 |
| /home/alberic/Documents/Cours/ramio_project/html/Ennemi_8cpp.html                          | HTML       |        100 |          5 |          3 |        108 |
| /home/alberic/Documents/Cours/ramio_project/html/Ennemi_8cpp_source.html                   | HTML       |        208 |          5 |          3 |        216 |
| /home/alberic/Documents/Cours/ramio_project/html/Ennemi_8h_source.html                     | HTML       |        134 |          5 |          3 |        142 |
| /home/alberic/Documents/Cours/ramio_project/html/Entity_8cpp.html                          | HTML       |         89 |          5 |          3 |         97 |
| /home/alberic/Documents/Cours/ramio_project/html/Entity_8cpp_source.html                   | HTML       |        159 |          5 |          3 |        167 |
| /home/alberic/Documents/Cours/ramio_project/html/Entity_8h_source.html                     | HTML       |        180 |          5 |          3 |        188 |
| /home/alberic/Documents/Cours/ramio_project/html/FinJeu_8cpp.html                          | HTML       |         89 |          5 |          3 |         97 |
| /home/alberic/Documents/Cours/ramio_project/html/FinJeu_8cpp_source.html                   | HTML       |        201 |          5 |          3 |        209 |
| /home/alberic/Documents/Cours/ramio_project/html/FinJeu_8h.html                            | HTML       |        105 |          5 |          3 |        113 |
| /home/alberic/Documents/Cours/ramio_project/html/FinJeu_8h_source.html                     | HTML       |        137 |          5 |          3 |        145 |
| /home/alberic/Documents/Cours/ramio_project/html/Level_8cpp.html                           | HTML       |        132 |          5 |          7 |        144 |
| /home/alberic/Documents/Cours/ramio_project/html/Level_8cpp_source.html                    | HTML       |        553 |          5 |          3 |        561 |
| /home/alberic/Documents/Cours/ramio_project/html/Level_8h_source.html                      | HTML       |        206 |          5 |          3 |        214 |
| /home/alberic/Documents/Cours/ramio_project/html/Menu_8cpp.html                            | HTML       |         92 |          5 |          3 |        100 |
| /home/alberic/Documents/Cours/ramio_project/html/Menu_8cpp_source.html                     | HTML       |        330 |          5 |          3 |        338 |
| /home/alberic/Documents/Cours/ramio_project/html/Menu_8h.html                              | HTML       |        153 |          5 |          6 |        164 |
| /home/alberic/Documents/Cours/ramio_project/html/Menu_8h_source.html                       | HTML       |        177 |          5 |          3 |        185 |
| /home/alberic/Documents/Cours/ramio_project/html/Player_8cpp.html                          | HTML       |        128 |          5 |          7 |        140 |
| /home/alberic/Documents/Cours/ramio_project/html/Player_8cpp_source.html                   | HTML       |        494 |          5 |          3 |        502 |
| /home/alberic/Documents/Cours/ramio_project/html/Player_8h_source.html                     | HTML       |         22 |          0 |          0 |         22 |
| /home/alberic/Documents/Cours/ramio_project/html/annotated.html                            | HTML       |         92 |          5 |          3 |        100 |
| /home/alberic/Documents/Cours/ramio_project/html/classAnimation-members.html               | HTML       |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/classAnimation.html                       | HTML       |         26 |          0 |          3 |         29 |
| /home/alberic/Documents/Cours/ramio_project/html/classAudioManager-members.html            | HTML       |         93 |          5 |          4 |        102 |
| /home/alberic/Documents/Cours/ramio_project/html/classAudioManager.html                    | HTML       |         26 |          0 |          3 |         29 |
| /home/alberic/Documents/Cours/ramio_project/html/classBloc-members.html                    | HTML       |         82 |          5 |          4 |         91 |
| /home/alberic/Documents/Cours/ramio_project/html/classBloc.html                            | HTML       |        -16 |          0 |         -1 |        -17 |
| /home/alberic/Documents/Cours/ramio_project/html/classBlocMystere-members.html             | HTML       |         97 |          5 |          4 |        106 |
| /home/alberic/Documents/Cours/ramio_project/html/classBlocMystere.html                     | HTML       |         24 |          0 |          3 |         27 |
| /home/alberic/Documents/Cours/ramio_project/html/classBlocSol-members.html                 | HTML       |         84 |          5 |          4 |         93 |
| /home/alberic/Documents/Cours/ramio_project/html/classBlocSol.html                         | HTML       |         24 |          0 |          3 |         27 |
| /home/alberic/Documents/Cours/ramio_project/html/classDrapeau-members.html                 | HTML       |         82 |          5 |          4 |         91 |
| /home/alberic/Documents/Cours/ramio_project/html/classEau-members.html                     | HTML       |         86 |          5 |          4 |         95 |
| /home/alberic/Documents/Cours/ramio_project/html/classEau.html                             | HTML       |        274 |          5 |         23 |        302 |
| /home/alberic/Documents/Cours/ramio_project/html/classEnnemi-members.html                  | HTML       |         96 |          5 |          4 |        105 |
| /home/alberic/Documents/Cours/ramio_project/html/classEnnemi.html                          | HTML       |         26 |          0 |          3 |         29 |
| /home/alberic/Documents/Cours/ramio_project/html/classEntity-members.html                  | HTML       |         80 |          5 |          4 |         89 |
| /home/alberic/Documents/Cours/ramio_project/html/classFinDeJeu-members.html                | HTML       |         89 |          5 |          4 |         98 |
| /home/alberic/Documents/Cours/ramio_project/html/classGuili-members.html                   | HTML       |        119 |          5 |          4 |        128 |
| /home/alberic/Documents/Cours/ramio_project/html/classGuili.html                           | HTML       |        478 |          5 |         30 |        513 |
| /home/alberic/Documents/Cours/ramio_project/html/classLevel-members.html                   | HTML       |        106 |          5 |          4 |        115 |
| /home/alberic/Documents/Cours/ramio_project/html/classLevel.html                           | HTML       |         55 |          0 |          5 |         60 |
| /home/alberic/Documents/Cours/ramio_project/html/classMenu-members.html                    | HTML       |         91 |          5 |          4 |        100 |
| /home/alberic/Documents/Cours/ramio_project/html/classMenu.html                            | HTML       |         26 |          0 |          3 |         29 |
| /home/alberic/Documents/Cours/ramio_project/html/classObjetInteractif-members.html         | HTML       |         81 |          5 |          4 |         90 |
| /home/alberic/Documents/Cours/ramio_project/html/classPiece-members.html                   | HTML       |         92 |          5 |          4 |        101 |
| /home/alberic/Documents/Cours/ramio_project/html/classPlayer-members.html                  | HTML       |        113 |          5 |          4 |        122 |
| /home/alberic/Documents/Cours/ramio_project/html/classPlayer.html                          | HTML       |        119 |          0 |         15 |        134 |
| /home/alberic/Documents/Cours/ramio_project/html/classRamio-members.html                   | HTML       |        115 |          5 |          4 |        124 |
| /home/alberic/Documents/Cours/ramio_project/html/classRamio.html                           | HTML       |        315 |          5 |         16 |        336 |
| /home/alberic/Documents/Cours/ramio_project/html/classTuyau-members.html                   | HTML       |         89 |          5 |          4 |         98 |
| /home/alberic/Documents/Cours/ramio_project/html/classTuyau.html                           | HTML       |         24 |          0 |          3 |         27 |
| /home/alberic/Documents/Cours/ramio_project/html/classes.html                              | HTML       |        128 |          5 |          3 |        136 |
| /home/alberic/Documents/Cours/ramio_project/html/dir_d44c64559bbebec7f509842c48db8b23.html | HTML       |         95 |          5 |          3 |        103 |
| /home/alberic/Documents/Cours/ramio_project/html/doxygen.css                               | CSS        |      1,406 |         84 |        282 |      1,772 |
| /home/alberic/Documents/Cours/ramio_project/html/dynsections.js                            | JavaScript |         86 |         31 |         11 |        128 |
| /home/alberic/Documents/Cours/ramio_project/html/functions.html                            | HTML       |        123 |          5 |          4 |        132 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_b.html                          | HTML       |        117 |          5 |          4 |        126 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_c.html                          | HTML       |        104 |          5 |          4 |        113 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_d.html                          | HTML       |         85 |          5 |          4 |         94 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_e.html                          | HTML       |         89 |          5 |          4 |         98 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_enum.html                       | HTML       |         70 |          5 |          3 |         78 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_f.html                          | HTML       |         84 |          5 |          4 |         93 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_func.html                       | HTML       |         42 |          0 |          0 |         42 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_g.html                          | HTML       |        141 |          5 |          4 |        150 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_h.html                          | HTML       |         81 |          5 |          4 |         90 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_i.html                          | HTML       |        108 |          5 |          4 |        117 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_j.html                          | HTML       |         77 |          5 |          4 |         86 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_l.html                          | HTML       |         80 |          5 |          4 |         89 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_m.html                          | HTML       |         89 |          5 |          4 |         98 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_n.html                          | HTML       |         71 |          5 |          4 |         80 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_o.html                          | HTML       |         87 |          5 |          4 |         96 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_p.html                          | HTML       |        101 |          5 |          4 |        110 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_r.html                          | HTML       |         83 |          5 |          4 |         92 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_s.html                          | HTML       |          6 |          0 |          0 |          6 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_t.html                          | HTML       |          3 |          0 |          0 |          3 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_u.html                          | HTML       |         82 |          5 |          4 |         91 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_v.html                          | HTML       |         75 |          5 |          4 |         84 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_vars.html                       | HTML       |        429 |          5 |         44 |        478 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_w.html                          | HTML       |         74 |          5 |          4 |         83 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_y.html                          | HTML       |         74 |          5 |          4 |         83 |
| /home/alberic/Documents/Cours/ramio_project/html/functions_~.html                          | HTML       |        107 |          5 |          4 |        116 |
| /home/alberic/Documents/Cours/ramio_project/html/globals.html                              | HTML       |         93 |          5 |          3 |        101 |
| /home/alberic/Documents/Cours/ramio_project/html/globals_defs.html                         | HTML       |         70 |          5 |          3 |         78 |
| /home/alberic/Documents/Cours/ramio_project/html/globals_enum.html                         | HTML       |         76 |          5 |          3 |         84 |
| /home/alberic/Documents/Cours/ramio_project/html/globals_func.html                         | HTML       |         73 |          5 |          3 |         81 |
| /home/alberic/Documents/Cours/ramio_project/html/globals_vars.html                         | HTML       |         75 |          5 |          3 |         83 |
| /home/alberic/Documents/Cours/ramio_project/html/graph_legend.html                         | HTML       |        129 |          5 |          3 |        137 |
| /home/alberic/Documents/Cours/ramio_project/html/hierarchy.html                            | HTML       |         94 |          5 |          3 |        102 |
| /home/alberic/Documents/Cours/ramio_project/html/index.html                                | HTML       |         69 |          5 |          3 |         77 |
| /home/alberic/Documents/Cours/ramio_project/html/inherits.html                             | HTML       |        124 |          5 |          3 |        132 |
